author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,image_count,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,user_likes,utensils,total_time
Devan Grimsrud,Managing Editor at Kitchen Stories,0,295.0,12.0,g,Easy,,Spinach and white bean soup,20.0,g,29,"['spinach', 'canned white beans (drained)', 'red onion', 'carrot', 'celery', 'sun-dried tomatoes', 'garlic', 'Italian sausages', 'bay leaf', 'rosemary', 'thyme', 'vegetable broth', 'chili flakes', 'salt', 'pepper', 'Parmesan rind', 'olive oil (for frying)']","['250.0', '200.0', '1.0', '1.0', '1.0', '2.0', '2.0', '150.0', '1.0', '2.0', '2.0', '1.5', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'stalk', 'cloves', 'g', 'sprigs', 'sprigs', 'l', '', '', '', '', '', '', '', '', '']",50,17.0,g,5.0,0,35.0,4,3.0,5531,"['cutting board', 'knife', 'pot (large)', 'rubber spatula']",50
Lisa,Contributor,0,709.0,113.0,g,Easy,,Spaghetti with lentil Bolognese,13.0,g,50,"['red lentils', 'garlic', 'onion', 'carrot', 'clarified butter', 'tomato paste', 'red wine', 'vegetable stock', 'bay leaves', 'canned crushed tomatoes', 'spaghetti', 'sugar', 'salt', 'pepper', 'Parmesan cheese for serving', 'basil for serving']","['200.0', '1.0', '1.0', '1.0', '2.0', '2.0', '150.0', '400.0', '2.0', '600.0', '500.0', '1.5', '0.0', '0.0', '0.0', '0.0']","['g', 'clove', 'tbsp', 'tbsp', 'ml', 'ml', 'g', 'g', 'tsp', '', '', '', '', '', '', '']",30,26.0,g,4.5,0,72.0,4,4.0,11202,"['cutting board', 'knife', 'frying pan', 'cooking spoon', 'pot', 'strainer', 'grater']",30
Verena,Founder at Kitchen Stories,0,399.0,30.0,g,Medium,,Thai chicken noodle soup,15.0,g,33,"['rice noodles', 'chicken breast', 'chicken stock', 'ginger', 'garlic', 'lemon grass', 'lime leaves', 'celery', 'carrot', 'green onions', 'enoki mushrooms', 'cilantro', 'peanut oil', 'soy sauce', 'oyster sauce']","['100', '150', '350', '20', '1', '1', '2', '2', '1', '2', '100', '10', '1', '2', '1']","['g', 'g', 'ml', 'g', 'clove', 'stalk', 'stalks', 'g', 'g', 'tbsp', 'tbsp', 'tbsp', '', '', '']",30,34.0,g,4.5,0,68.0,2,7.0,46628,"['fine grater', 'cutting board', 'knife', 'large sauce pan', 'cooking spoon', 'kettle (optional)', 'large bowl', 'colander']",30
Alex Hiller,Contributor,0,250.0,44.0,g,Easy,,Homemade spätzle,4.0,g,1,"['flour', 'salt', 'egg', 'water']","['120', '0.5', '1', '60']","['g', 'tsp', 'ml', '']",20,10.0,g,4.5,0,5.0,2,2.0,590,"['large bowl', 'cooking spoon', 'large pot', 'offset spatula', 'slotted spoon', 'cutting board']",20
Ramona,Community Member,30,,,,Easy,Very flexible recipe. Best served hot. Enjoy 😃,Chicken and Zucchini Stew,,,0,"['onions', 'garlic', 'ground cinnamon', 'sweet paprika powder', 'salt', 'pepper', 'chicken breasts', 'jasmine rice (2 cups)', 'chicken stock powder', 'sunflower oil', 'tomato sauce', 'zucchini', 'Vermicelli', 'butter', 'water (4 cups)', 'salt']","['3', '1', '0.5', '1', '2', '1', '1.5', '256', '2', '60', '200', '1', '2', '2', '1', '2']","['heads', 'bulb', 'tsp', 'tsp', 'tsp', 'tsp', 'kg', 'g', 'tsp', 'ml', 'g', 'kg', 'tbsp', 'tbsp', 'l', 'tsp']",30,,,5.0,5,1.0,6,9.0,32,,65
nathan peyzner,Community Member,12,,,,Easy,,Baked Salmon,,,0,"['salmon fillet', 'lemon', 'salt', 'Black pepper', 'garlic powder']","['1.0', '1.0', '0.0', '0.0', '0.0']","['lb', '', '', '', '']",5,,,0.0,3,,2,5.0,8,,20
la,Community Member,0,,,,Easy,"My kids love this dish, especially when they want some comfort food to continue on their homework",Potato and leek soup,,,1,"['leeks', 'potatoes', 'chicken stock', 'garlic', 'bay leaves', 'thyme', 'heavy cream', 'water', 'butter', 'salt', 'pepper']","['4.0', '6.0', '2.0', '2.0', '2.0', '3.0', '4.0', '0.0', '0.0', '0.0', '0.0']","['packages', 'cloves', 'sprigs', 'tbsp', '', '', '', '', '', '', '']",60,,,5.0,0,4.0,4,5.0,43,,60
Katie,Community Member,35,,,,Easy,,Lemon pepper Salmon,,,0,"['salmon fillets', 'lemon pepper seasoning', 'lemon', 'olive oil']","['2', '4', '1', '2']","['tbsp', 'tbsp', '', '']",10,,,0.0,0,,2,9.0,7,"['aluminum foil', 'knife', 'baking pan (8x8 in.)']",45
Chris,Community Member,25,,,,Easy,Mum used to make this all the time. Simple meal but filling,Mum’s cheese and potato pie,,,0,"['Potato’s', 'salt', 'Home made short crust/ pre made short crust pastry ', 'Ground black pepper', 'butter', '3/4 cup milk ', 'Good handful grated cheese']","['6.0', '1.0', '1.0', '1.0', '1.0', '0.0', '0.0']","['tsp', 'package', 'pinch', 'tbsp', '', '', '']",40,,,0.0,0,,6,9.0,21,['A sharp knife'],65
Jolien Lammerts van Bueren,Community Member,10,,,,Easy,You can add chicken if you like.,Pasta,,,0,"['whole-grain pasta', 'cherry tomatoes', 'feta cheese', 'olive oil', 'zucchini', 'red pesto']","['250.0', '150.0', '1.0', '1.0', '0.0', '0.0']","['g', 'g', 'tbsp', '', '', '']",3,,,0.0,0,,2,3.0,21,,13
Alana Wright,Community Member,35,,,,Easy,,Crescent Roll Breakfast Bake,,,0,"['pork sausage', 'Refrigerated Crescent rolls', 'shredded mozzarella cheese', 'eggs', 'milk', 'salt', 'pepper', 'onion', 'green bell pepper']","['1', '1', '2', '8', '2', '0.5', '0.5', '0.5', '1']","['lb', 'package', 'cups', 'cups', 'tsp', 'tsp', 'cup', '', '']",20,,,4.0,1,1.0,12,6.0,12,"['frying pan', 'spatula', 'knife', 'baking dish (9x13 in.)', 'whisk', 'bowl (large)']",56
Jolien Lammerts van Bueren,Community Member,0,,,,Easy,,Rösti with salmon,,,1,"['potatoes', 'onion', 'egg', 'sour cream', 'lemon zest', 'smoked salmon', 'chives', 'olive oil', 'salt', 'pepper']","['300.0', '1.0', '1.0', '125.0', '0.5', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'ml', '', '', '', '', '', '', '', '']",30,,,0.0,0,,4,5.0,12,"['2 graters', '2 bowls', 'baking pan']",30
Julia Simão,Community Member,60,,,,Medium,I love artichokes and I found a canned one (easy). My grandmather taught me how to make the dough. In Brazil we call this dough as massa podre. The sharing idea came only after the pie was being eated!,Artichoke Pie,,,0,"['artichoke hearts', 'spinach leafs', 'Gouda Goat Cheese', 'red onion', 'oil', 'butter', 'nutmeg', 'salt', 'Black pepper', 'cream cheese', 'Pie crust', 'egg yolk', 'whole-wheat flour', 'butter', 'egg', 'salt', 'sugar', 'Cold water', 'cornflour', 'baking powder']","['5.0', '300.0', '2.0', '1.0', '1.0', '1.0', '0.25', '0.5', '0.25', '80.0', '1.0', '750.0', '2.0', '1.0', '0.5', '1.0', '375.0', '1.0', '0.5', '0.0']","['g', 'slices', 'tbsp', 'tbsp', 'tsp', 'tsp', 'tsp', 'ml', 'ml', 'tbsp', 'tsp', 'tsp', 'ml', 'tsp', 'tsp', '', '', '', '', '']",90,,,3.0,0,1.0,4,6.0,10,"['frying pan', 'wooden spoon', 'Casserole ', 'baking dish', 'pastry brush', '2 bowls', 'tea cup', 'Dough roll']",150
Raffaella,Community Member,30,,,,Easy,"Here is a recipe for an oven-roasted version of the classic street-side flavor bomb usually cooked on a rotisserie. It is perfect for an evening with family and friends. Serve with pita and tahini, chopped cucumbers and tomatoes, some olives, chopped parsley, some feta, fried eggplant, hummus swirled with harissa, rice or rice pilaf. You can make the white sauce that traditionally accompanies it by cutting plain yogurt with mayonnaise and lemon juice, and flecking it with garlic.",Oven-Roasted Chicken Shawarma,,,3,"['lemon juice', 'olive oil', 'garlic', 'salt', 'pepper', 'ground cumin', 'smoked paprika powder', 'turmeric', 'ground cinnamon', 'chili flakes', 'chicken breasts', 'red onion', 'parsley']","['2', '0.5', '6', '1', '2', '2', '2', '0.5', '1', '1', '900', '1', '2']","['cloves', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'pinch', 'pinch', 'g', 'tbsp', '', '', '']",15,,,5.0,60,2.0,2,3.0,42,"['knife', 'liquid measuring cup', 'baking pan']",105
RanjiniRamesh,Community Member,25,,,,Easy,Easy weeknight meals are the best. Perfect clean eating recipe for any day of the week.,Roasted Broccoli and Cauliflower with garlic,,,2,"['Broccoli', ' cut into florets', 'Cauliflower', ' cut into florets', 'Onion', ' sliced', 'Chopped garlic', 'Italian herb mixture', 'Parmesan cheese', 'olive oil', 'salt']","['0.5', '1', '0.5', '2', '1', '2', '2', '1.5']","['head', 'head', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', '']",10,,,5.0,0,1.0,4,5.0,207,,35
salim,Community Member,10,,,,Easy,,Pork Chops,,,0,"['thin pork chop', 'flour', 'raspberry chipotle', 'garlic powder', 'smoked paprika powder', 'black peppercorn', 'olive oil', 'chicken stock', 'apple cider vinegar', 'honey', 'butter']","['6', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1']","['tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'cup', 'tbsp', 'tsp', 'tbsp', '']",30,,,5.0,20,1.0,2,7.0,26,,60
Sylvia Zhang,Community Member,0,,,,Easy,"I got an interesting type of fettuccine from supermarket which is made of black bean flour. I gave it a try by serving it with beef meatballs and spinach. It turned out to be really yum. It’s low in carb and sugar, high in protein and fibre.Hope you enjoy💕💕",Beef meatballs with organic black bean fettuccine,,,0,"['Black bean Fettuccine', 'canned diced tomato', 'thyme', 'garlic', 'baby spinach', 'salt', 'Ground pepper', 'Brown onion', 'egg', 'Oats blended', 'ground beef', 'Rice malt syrup', 'Salt reduced chicken stock']","['2', '0.5', '1', '2', '2', '3', '3', '1', '1', '2', '60', '1', '150']","['oz', 'sprig', 'cups', 'pinches', 'pinches', 'tbsp', 'g', 'tbsp', 'ml', '', '', '', '']",20,,,0.0,0,,1,7.0,29,"['knife', '2 spatulas']",20
Tessa Sukhwinder,Community Member,25,,,,Easy,,Pumpkimsoup,,,0,"['butternut squash (diced)', 'water', 'chicken broth cube', 'cream', 'pepper', 'nutmeg']","['500', '1000', '2', '250', '1', '1']","['g', 'ml', 'ml', 'dash', 'dash', '']",10,,,0.0,0,,4,7.0,30,,35
Šárka Simandlová,Community Member,15,,,,Easy,This is my favourite kind of healthy version of pizza. Its really delicious and this pizza will enjoy everybody. Even my granny loves it!,Quick and healthy pizza,,,1,"['non-fat Greek yogurt', 'whole-wheat flour', 'egg white', 'baking powder', 'tomato sauce']","['100', '30', '1', '0.25', '30']","['g', 'g', 'bag', 'g', '']",5,,,4.5,0,2.0,1,4.0,90,,20
FloppyCereal,Community Member,12,,,,Easy,,White fish - baked (with avokado sauce),,,1,"['white fish', 'sweet paprika powder', 'ground cumin seeds', 'salt & pepper', 'chili pepper flakes', 'lime juice', 'avocado', 'olive oil', 'cilantro', 'salt & pepper', 'lime juice', 'joghurt']","['4.0', '1.0', '1.0', '1.0', '0.5', '1.0', '1.0', '2.0', '1.0', '1.0', '0.0', '0.0']","['tbsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'tbsp', 'tsp', 'tbsp', '', '', '', '']",10,,,4.0,0,1.0,4,5.0,22,,22
Kiti,Community Member,0,,,,Easy,One of my favorites. You can add some tomato sauce. 🙏🏼🌸 yummy,Mushroom and chicken pasta,,,0,"['chicken breasts', 'Mushroom ', 'Salt', 'Macaroni ', 'olive oil', 'Pickled cucumber']","['2', '200', '0.5', '300', '3', '100']","['g', 'tsp', 'g', 'tbsp', 'g', '']",50,,,0.0,0,,2,3.0,37,,50
Gary Pollard,Community Member,8,,,,Easy,"Top delicious cheddar cheese and garlic flatbreads with three types of mushroom, serviced in a velvety creme fraiche sauce.",Creamy Mushroom Flatbreads,,,0,"['dried porcini mushrooms', 'flatbreads', 'rapeseed oil', 'portobello mushrooms', 'button mushrooms', 'crème fraîche', 'thyme']","['50', '2', '1', '250', '200', '100', '2']","['g', 'tbsp', 'g', 'g', 'ml', 'sprigs', '']",20,,,0.0,0,,6,6.0,12,"['kettle', 'bowl', 'oven', 'frying pan']",28
Silvia Marinescu,Community Member,0,,,,Medium,"	If not creamy, is not a risotto; so let’s make a creamy, fresh pesto sauce risotto. This recepie is by Chef Alex Rada",Pesto risotto and ricotta,,,0,"['pearl onion', 'olive oil', 'rice', 'dry white wine', 'chicken stock', 'Parmesan cheese (for serving)', 'butter', 'pine nuts (toasted', ' for shaking)', 'olive oil (for shaking)', 'garlic (for shaking)', 'salt (for shaking)', 'Parmesan cheese', 'basil (for shaking)']","['1', '60', '100', '100', '400', '80', '80', '15', '60', '1', '1.3333333333333333', '60', '25']","['bulb', 'ml', 'g', 'ml', 'ml', 'g', 'g', 'g', 'ml', 'clove', 'tsp', 'g', 'g']",35,,,0.0,0,,1,6.0,76,,35
Gary Pollard,Community Member,20,,,,Medium,"Swap classic mash for crispy carrot, parsnip and sweet potato, to top tender beef mince (or use Quorn mince)",Root Vegetable Rosti-Topped Cottage Pie,,,0,"['rapeseed oil', 'onion', 'garlic', 'mince meat', 'tomato purée', 'dried rosemary', 'frozen peas', 'gravy granules', 'carrot (grated)', 'parsnip (grated)', 'sweet potato (grated)', 'spring greens']","['2.0', '1.0', '2.0', '500.0', '1.0', '0.5', '100.0', '20.0', '1.0', '2.0', '1.0', '0.0']","['tbsp', 'cloves', 'g', 'tbsp', 'tsp', 'g', 'g', '', '', '', '', '']",20,,,0.0,10,,4,5.0,28,"['oven', 'deep frying pan', 'ovenproof dish']",50
Allan Michael Smith,Community Member,0,,,,Easy,"Goes extremely well with slow roasted cherry tomatoes as shown in the picture, though it is already delicious by itself. If you fancy the tomatoes simply cut them in half, season with garlic slices, salt, pepper, thyme and olive oil and roast them in the oven at 120C for 1h30m for the best cherry tomatoes you ever had.",Gorgonzola Lemon Spinach Pasta,,,0,"['pasta', 'spinach', 'Gorgonzola cheese', 'asparagus', 'olives', 'basil', 'garlic', 'limes', 'unsalted butter', 'olive oil', 'Salt and pepper to taste', 'chili flakes (optional)', 'pickled lemon (optional)']","['500.0', '500.0', '200.0', '200.0', '100.0', '30.0', '8.0', '2.0', '50.0', '4.0', '0.5', '0.0', '0.0']","['g', 'g', 'g', 'g', 'g', 'g', 'cloves', 'g', 'tbsp', 'tsp', '', '', '']",30,,,5.0,0,1.0,8,5.0,44,,30
Gianna,Community Member,0,,,,Easy,"Just to let you all know you don’t have to follow this recipe to a T. This is just an easy recipe and I just eyeball it when I make it. This is Vegan And vegetarian since it does not need cheese. If you want to add cheese you can You can also add other things to it like garlic cloves, shrimp, and Pepper.",Cheesy Ramon noodles,,,0,"['Roman noodles ', 'turmeric', 'butter', 'milk', 'Adobo', 'Sazón', 'Chopped parsley', 'paprika', 'garlic powder']","['1', '1', '2', '2', '2', '2', '1', '1', '1']","['package', 'tsp', 'tbsp', 'fl oz', 'tbsp', 'tbsp', 'tsp', 'tsp', 'tbsp']",10,,,0.0,0,,1,9.0,24,"['pot', 'Strainer', 'fork', 'plate']",10
Jmattryk,Community Member,0,,,,Medium,Easy to make spaghetti. Made by my grandpa during December 1911. Passed on many years and now I’m making it! Tip; Add cheese into sauce to infuse with flavour,Daddy’s Spaghetti,,,0,"['spaghetti', 'tomato sauce', 'shredded Mexican cheese blend (for garnish)', 'thyme (for sprinkling)', 'ground beef', 'water']","['1', '1', '8', '1', '1', '1']","['package', 'l', 'g', 'clove', 'kg', 'l']",30,,,0.0,5,,2,4.0,13,,35
holzapfel,Community Member,20,,,,Easy,I love to serve the Pizza Bianca as a main dish as well as a side to a nice barbecue or even just a soup.,Classic Pizza Bianca,,,0,"['flour', 'fresh yeast', 'water', 'olive oil', 'salt', 'potatoes', 'sour cream', 'garlic', 'rosemary', 'flaky sea salt', 'pepper', 'olive oil']","['500.0', '20.0', '300.0', '3.0', '2.0', '5.0', '180.0', '3.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'ml', 'tbsp', 'pinches', 'g', 'cloves', '', '', '', '', '']",25,,,0.0,90,,4,10.0,8,"['kitchen towel', 'rolling pin']",135
Emily Gibbons,Community Member,30,,,,Easy,,Lasagna,,,0,"['tomato sauce', 'Oven ready lasagna noodles', 'onion', 'cottage cheese', 'mozzarella cheese', 'ground chicken', 'garlic powder']","['1.0', '0.5', '1.0', '1.0', '1.0', '1.0', '0.0']","['package', 'package', 'bar', 'package', 'pinch', '', '']",20,,,0.0,10,,8,9.0,17,['Casserole dish'],60
Tara,Community Member,30,,,,Easy,This is an amazing dinner! Perfect when you don’t have an abundance of time. As a bonus it’s super packed with nutrition.,Cabbage Ginger Stir-fry,,,0,"['red cabbage', 'red bell pepper', 'yellow bell pepper', 'broccoli', 'sesame oil', 'mixed mushrooms', 'mandarins', 'pineapple', 'Steak']","['0.3333333333333333', '0.5', '0.5', '0.5', '1', '8', '2', '0.125', '0.5']","['head', 'head', 'tsp', '', '', '', '', '', '']",15,,,0.0,0,,4,3.0,11,['spatula'],45
jon,Community Member,30,,,,Easy,A healthy cous cous meal with flavour ,Cauliflower cous cous,,,0,"['chicken breasts', 'peas', 'coconut oil', 'garlic', 'olives', 'cauliflower']","['180', '80', '1', '1', '5', '150']","['g', 'g', 'tbsp', 'clove', 'g', '']",5,,,0.0,0,,1,4.0,3,['oven'],35
Jenny,Community Member,50,,,,Easy,Carrie-Ann’s recipe (2012),Sausage Lentil Casserole,,,1,"['olive oil', 'Italian sausages', 'onions', 'pancetta', 'celery', 'chili flakes', 'Puy lentils', 'dry white wine', 'chicken stock']","['2', '8', '2', '125', '1', '0.25', '275', '150', '450']","['tbsp', 'bulbs', 'g', 'stalk', 'tsp', 'g', 'ml', 'ml', '']",20,,,0.0,0,,4,6.0,15,,70
Jack Matthews,Community Member,10,,,,Easy,,Bloody Mary Linguine,,,0,"['linguine', 'red onion', 'garlic', 'Tinned chopped tomatoes', 'vodka', 'Granulated sugar', 'Celery salt', 'salt', 'black pepper', 'Tabasco', 'Worcestershire sauce', 'olive oil']","['150', '0.5', '2', '1', '75', '1', '1', '1', '1', '6', '6', '1']","['g', 'cloves', 'ml', 'tsp', 'pinch', 'pinch', 'pinch', 'dashes', 'dashes', 'tbsp', '', '']",5,,,0.0,0,,2,6.0,4,"['knife', 'Chopping board', 'saucepan', 'garlic press', 'Frying pan', 'Wooden spoon or spatula', 'tongs']",15
Hannah Billinghurst,Community Member,20,,,,Easy,,Lentil Casserole,,,0,"['celery', 'carrots', 'onions', 'pancetta', 'green lentil', 'crème fraîche', 'parsley', 'stock cube', 'pork sausages']","['3.0', '3.0', '2.0', '150.0', '1.0', '3.0', '1.0', '8.0', '0.0']","['g', 'bag', 'tbsp', 'l', '', '', '', '', '']",30,,,0.0,0,,4,8.0,3,,50
hanzlikovahanaa,Community Member,0,,,,Easy,Add a bit of cream and freshly ground pepper on top as a decor.,Creamy vegetable soup,,,0,"['onion', 'potato', 'carrot', 'broccoli', 'olive oil', 'beef stock', 'double cream', 'salt', 'pepper']","['0.5', '1.0', '1.0', '300.0', '1.0', '1.0', '100.0', '0.0', '0.0']","['g', 'tbsp', 'l', 'ml', '', '', '', '', '']",40,,,0.0,0,,4,4.0,37,,40
